gene,carbon_source,fitness,overall_disruption
b1693,lac__D,-5.9990000000000006,complete
b1693,pyr,-3.9165,complete
b1693,rib__D,-4.685,complete
b1693,succ,-4.449999999999999,complete
b1693,xyl__D,-5.702,complete
b1704,ac,-0.679,primary_partial
b1704,fru,-0.21100000000000002,primary_partial
b1704,glc__D,-0.026750000000000003,primary_partial
b1704,glyc,-0.043500000000000004,primary_partial
b1704,lac__D,-0.346,primary_partial
b1704,pyr,-0.2545,primary_partial
b1704,rib__D,-0.364,primary_partial
b1704,succ,-0.971,primary_partial
b1704,xyl__D,-0.3995,primary_partial
b1748,ac,-0.0245,secondary
b1748,fru,-0.16349999999999998,secondary
b1748,glc__D,-0.13925,secondary
b1748,glyc,0.0305,secondary
b1748,lac__D,-0.152,secondary
b1748,pyr,0.0965,secondary
b1748,rib__D,0.1005,secondary
b1748,succ,0.041,secondary
b1748,xyl__D,0.085,secondary
b1800,ac,-0.262,secondary
b1800,fru,0.0020000000000000018,secondary
b1800,glc__D,0.09075,secondary
b1800,glyc,-0.038,secondary
b1800,lac__D,0.097,secondary
b1800,pyr,-0.0825,secondary
b1800,rib__D,-0.1615,secondary
b1800,succ,-0.1365,secondary
b1800,xyl__D,-0.028999999999999998,secondary
b1814,ac,-0.0505,secondary
b1814,fru,-0.045,secondary
b1814,glc__D,-0.099,secondary
b1814,glyc,-0.024,secondary
b1814,lac__D,-0.017,secondary
b1814,pyr,-0.0675,secondary
b1814,rib__D,0.2375,secondary
b1814,succ,-0.2245,secondary
b1814,xyl__D,-0.08549999999999999,secondary
b1817,glc__D,-0.22425,secondary
b1818,glc__D,-0.22175,secondary
b1819,glc__D,-0.048,secondary
b2019,ac,-4.734999999999999,complete
b2019,fru,-3.8195,complete
b2019,glc__D,-3.46575,complete
b2019,glyc,-4.1625,complete
b2019,lac__D,-4.693,complete
b2019,pyr,-3.6310000000000002,complete
b2019,rib__D,-4.3075,complete
b2019,succ,-4.6455,complete
b2019,xyl__D,-4.2635000000000005,complete
b2020,ac,-5.202500000000001,complete
b2020,fru,-4.119,complete
b2020,glc__D,-4.69475,complete
b2020,glyc,-2.9875,complete
b2020,lac__D,-6.7535,complete
b2020,pyr,-4.0705,complete
b2020,rib__D,-5.5245,complete
b2020,succ,-4.7475000000000005,complete
b2020,xyl__D,-5.0985,complete
b2021,ac,-5.5495,complete
b2021,fru,-3.85,complete
b2021,glc__D,-3.5294999999999996,complete
b2021,glyc,-2.4765,complete
b2021,lac__D,-5.569000000000001,complete
b2021,pyr,-4.2415,complete
b2021,rib__D,-5.1855,complete
b2021,succ,-4.662000000000001,complete
b2021,xyl__D,-5.179,complete
b2022,ac,-5.2865,complete
b2022,fru,-4.447,complete
b2022,glc__D,-4.19525,complete
b2022,glyc,-2.643,complete
b2022,lac__D,-5.639,complete
b2022,pyr,-4.878,complete
b2022,rib__D,-4.8365,complete
b2022,succ,-4.874,complete
b2022,xyl__D,-4.776,complete
b2023,ac,-3.9945,complete
b2023,fru,-4.183,complete
b2023,glc__D,-3.77325,complete
b2023,glyc,-2.5620000000000003,complete
b2023,lac__D,-4.0065,complete
b2023,pyr,-3.1835,complete
b2023,rib__D,-4.4075,complete
b2023,succ,-3.992,complete
b2023,xyl__D,-4.220000000000001,complete
b2024,ac,-4.0120000000000005,complete
b2024,fru,-3.9305000000000003,complete
b2024,glc__D,-3.69525,complete
b2024,glyc,-3.0635,complete
b2024,lac__D,-4.2325,complete
b2024,pyr,-4.2905,complete
b2024,rib__D,-4.176,complete
b2024,succ,-3.682,complete
b2024,xyl__D,-4.452,complete
b2025,ac,-5.67,complete
b2025,fru,-4.6850000000000005,complete
b2025,glc__D,-4.03175,complete
b2025,glyc,-2.4305,complete
b2025,lac__D,-6.340999999999999,complete
b2025,pyr,-5.0085,complete
b2025,rib__D,-4.763999999999999,complete
b2025,succ,-4.9245,complete
b2025,xyl__D,-5.824,complete
b2026,ac,-3.5359999999999996,complete
b2026,fru,-3.1265,complete
b2026,glc__D,-3.753,complete
b2026,glyc,-3.567,complete
b2026,lac__D,-4.083,complete
b2026,pyr,-2.8855,complete
b2026,rib__D,-3.7945,complete
b2026,succ,-4.170999999999999,complete
b2026,xyl__D,-3.654,complete
b2215,ac,-2.357,primary_partial
b2215,fru,-0.8320000000000001,primary_partial
b2215,glc__D,-0.56225,primary_partial
b2215,glyc,-0.9085,primary_partial
b2215,lac__D,-1.8255,primary_partial
b2215,pyr,-0.7430000000000001,primary_partial
b2215,rib__D,-1.873,primary_partial
b2215,succ,-2.3529999999999998,primary_partial
b2215,xyl__D,-1.837,primary_partial
b2251,ac,-0.111,secondary
b2251,fru,0.0355,secondary
b2251,glc__D,-0.04725,secondary
b2251,glyc,-0.0019999999999999983,secondary
b2251,lac__D,0.0045000000000000005,secondary
b2251,pyr,-0.1105,secondary
b2251,rib__D,0.0115,secondary
b2251,succ,-0.0235,secondary
b2251,xyl__D,0.05,secondary
b2312,ac,-5.2995,complete
b2312,fru,-4.390499999999999,complete
b2312,glc__D,-3.98475,complete
b2312,glyc,-1.257,complete
b2312,lac__D,-4.8740000000000006,complete
b2312,pyr,-4.436,complete
b2312,rib__D,-4.74,complete
b2312,succ,-4.6745,complete
b2312,xyl__D,-4.672499999999999,complete
b2329,ac,-4.6385000000000005,complete
b2329,fru,-4.734999999999999,complete
b2329,glc__D,-4.20575,complete
b2329,glyc,-4.717499999999999,complete
b2329,lac__D,-4.4704999999999995,complete
b2329,pyr,-3.9764999999999997,complete
b2329,rib__D,-4.3759999999999994,complete
b2329,succ,-4.072,complete
b2329,xyl__D,-5.029,complete
b2414,ac,-5.401,primary_full
b2414,fru,-4.1125,primary_full
b2414,glc__D,-4.10175,primary_full
b2414,glyc,-3.936,primary_full
b2414,lac__D,-5.2675,primary_full
b2414,pyr,-3.484,primary_full
b2414,rib__D,-5.1425,primary_full
b2414,succ,-4.3355,primary_full
b2414,xyl__D,-4.5120000000000005,primary_full
b2421,ac,-0.6865,secondary
b2421,fru,-0.013499999999999998,secondary
b2421,glc__D,-0.36675,secondary
b2421,glyc,0.20450000000000002,secondary
b2421,lac__D,0.2885,secondary
b2421,pyr,0.211,secondary
b2421,rib__D,0.205,secondary
b2421,succ,-1.8795000000000002,secondary
b2421,xyl__D,-0.8525,secondary
b2476,ac,-5.477,complete
b2476,fru,-4.9465,complete
b2476,glc__D,-4.098,complete
b2476,glyc,-0.9405,complete
b2476,lac__D,-6.024,complete
b2476,pyr,-4.6835,complete
b2476,rib__D,-4.5615,complete
b2476,succ,-6.789,complete
b2476,xyl__D,-4.936,complete
b2492,ac,-0.1485,primary_partial
b2492,fru,-0.051500000000000004,primary_partial
b2492,glc__D,0.0685,primary_partial
b2492,glyc,0.013500000000000005,primary_partial
b2492,lac__D,0.033,primary_partial
b2492,pyr,-0.046,primary_partial
b2492,rib__D,-0.060500000000000005,primary_partial
b2492,succ,0.14250000000000002,primary_partial
b2492,xyl__D,0.061500000000000006,primary_partial
b2499,ac,-4.656499999999999,complete
b2499,fru,-4.5395,complete
b2499,glc__D,-3.83725,complete
b2499,glyc,-0.025999999999999995,complete
b2499,lac__D,-5.102,complete
b2499,pyr,-4.3105,complete
b2499,rib__D,-4.478,complete
b2499,succ,-3.8035,complete
b2499,xyl__D,-3.9699999999999998,complete
b2500,ac,-2.646,complete
b2500,fru,-2.05,complete
b2500,glc__D,-2.24075,complete
b2500,glyc,-3.5525,complete
b2500,lac__D,-3.907,complete
b2500,pyr,-1.488,complete
b2500,rib__D,-1.52,complete
b2500,succ,-0.8725,complete
b2500,xyl__D,-2.2055,complete
b2518,ac,-2.9925,primary_full
b2518,fru,-2.0385,primary_full
b2518,glc__D,-1.6280000000000001,primary_full
b2518,glyc,-1.3545,primary_full
b2518,lac__D,-1.895,primary_full
b2518,pyr,-1.7145,primary_full
b2518,rib__D,-0.537,primary_full
b2518,succ,-0.5905,primary_full
b2518,xyl__D,-1.9955,primary_full
b2557,ac,-4.561,complete
b2557,fru,-4.1114999999999995,complete
b2557,glc__D,-3.8114999999999997,complete
b2557,glyc,-0.23650000000000002,complete
b2557,lac__D,-4.991,complete
b2557,pyr,-3.945,complete
b2557,rib__D,-4.160500000000001,complete
b2557,succ,-4.172499999999999,complete
b2557,xyl__D,-4.3945,complete
b2599,ac,-3.9925,complete
b2599,fru,-3.3205,complete
b2599,glc__D,-3.1585,complete
b2599,glyc,-2.48,complete
