"reaction_id","direction","value","par_type","unit","condition","notes"
"3OAR180","bwd",2.66088378223201,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR181","fwd",1.27988953981167,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR40","fwd",8.24337196264866,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR40","bwd",2.66088378223201,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR60","fwd",8.24337196264866,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR60","bwd",3.96741055037907,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR80","fwd",8.24337196264866,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR80","bwd",3.96741055037907,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS100","fwd",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS120","fwd",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS121","fwd",1.87647496051425,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS140","fwd",1.51896359918247,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS141","fwd",1.87647496051425,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS160","fwd",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS161","fwd",1.87647496051425,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS180","fwd",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS181","fwd",1.31640661008089,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS60","fwd",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAS80","fwd",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OXCOAT","fwd",3.17032358442981,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3PEPTabcpp","fwd",2.52663121508264,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3SLAR","fwd",2.70270755200262,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"42A12BOOXpp","fwd",2.73661203770238,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4ABZGLUH","fwd",4.85105259519123,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4ABZGLUH","bwd",2.58001138504408,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4HTHRA","fwd",8.34468039647198,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4HTHRA","bwd",1.50502190911387,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4HTHRK","fwd",1.51276290960888,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4HTHRS","fwd",3.32261530386082,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4PCP","fwd",3.73361312954748,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4PCPpp","fwd",3.28072695704265,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"4PEPTabcpp","fwd",2.52538934622165,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"5DGLCNR","fwd",33.4280860883297,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"5DKGR","fwd",32.2425020122297,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"5DKGR","bwd",2.874367087497,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"5DOAN","fwd",0.0299207198851433,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"6D6SFK","fwd",3.43949447096703,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"6D6SPA","fwd",9.5326599384372,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"A5PISO","fwd",3.67173271722228,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"A5PISO","bwd",3.38136182744102,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS1","fwd",0.473364780846464,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS2","fwd",2.00440558897423,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS3","fwd",1.47061548763832,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS4","fwd",1.57215392152476,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS5","fwd",1.29452388884608,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS6","fwd",2.00440558897423,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS7","fwd",0.900429350378871,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS8","fwd",2.00440558897423,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACPS9","fwd",0.0069399937015198,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AACTOOR","fwd",2.49625848192878,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AADDGT","fwd",3.39936801810154,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AAMYL","fwd",6.12408115754901,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
