,id,v,drg0,drg,z_drg,z_drg0,sp_drg
108,HISTD,0.06166981716319223,-22.948740157099106,-45.42661932021577,0.04606416341969218,0.18861815057014653,3.195684531337521e-11
109,DHDPS,0.24146970599832163,-125.1792027881252,-97.61548771812869,1.6679872149888983,0.8711450038691733,1.3909126152316186e-11
110,IGPDH,0.06166981716319223,-42.80500045603813,-42.805024158141926,-0.10326089936647853,-0.4007729857856941,3.402086694748282e-11
111,PRPPS,0.6063324243234619,-4.582832662344864,-10.160539130382576,-0.2306488908365906,-0.369916301753169,1.4961988692864845e-10
112,PRATPP,0.06166981716319223,-55.98162393622781,-77.55519706028787,0.09283207468276097,0.34559129207560735,1.7984724000223247e-11
113,GLUN,3.04980932000502,-14.360931248511971,-29.37834472450032,0.016653628576241378,0.10140099007416971,5.037293044052761e-11
114,PRMICI,0.06166981716319223,-10.563412247154098,-10.563418035984446,-0.10564840223355285,-0.5820865310990139,1.4379905088167312e-10
115,GLUPRT,0.2908463092755384,-69.8538226862331,-84.89053419428876,0.02297499804755193,0.08597641997988023,1.627298830428491e-11
116,SERAT,0.16003115108017377,-6.199736829181045,-17.944187554859248,-1.0936304383603632,-1.2500528398823318e-05,8.367458631198305e-11
117,CYSS,0.16003115108017377,-51.12045852463705,-50.721892055298255,0.011256274397717037,-0.0512048519189216,2.8438478083670936e-11
118,BPNT,0.16003115108017377,-6.784811482695731,-21.79653275691637,0.6263469609672614,0.09444340929100542,6.853541564445316e-11
119,PAPSR,0.16003115108017377,-51.451115371454776,-73.00539732690848,0.0018385660657283503,0.0038525992853197244,1.921807201231455e-11
120,ASPK,0.6957698678956195,15.42911670900403,-0.0999998044254049,-2.007937214254488,-1.874002917376161,1.2783657289346073
121,ASAD,-0.6957698678956195,-26.938982134019582,0.09999887302397803,0.07304870026360728,0.674264815925599,0.7966705073592829
122,DAPDC,0.22338107335534008,-12.15677836749504,-34.72250214209617,-0.13861951197588762,-0.08903615839222659,4.2347116411011484e-11
123,OCBT,0.19254616477374398,-31.047053414660766,-26.345540879840705,0.5067444412919291,0.25253890579839355,5.6379962146117637e-11
124,GARFT,0.2908463092755384,-3.3779674694877673,-9.778584585090341,-0.7730866828363632,-0.479386054962853,1.5558552366186612e-10
125,PHETA1,-0.12059847871750311,-0.40721070607121657,11.53558906612471,0.0010657165621121845,1.4788696385747632e-06,1.3144237041748816e-10
126,PPND,0.08976357013590698,-6.224895708012189,-40.02955415245006,0.25589072907868127,0.4192660826037552,3.650072504665083e-11
127,ACOTA,-0.19254616477374398,0.26130926751526573,10.256602101339771,0.5009580864240388,1.1951518401963794,1.48190102371281e-10
128,SULR,0.16003115108017377,-99.27586333504898,-117.1704273982679,0.004023938096276339,0.010113352679930715,1.126698053388193e-11
129,PRAGSr,0.2908463092755384,-28.637929656790284,-27.583130413540715,0.45287345619867825,-0.3240057603511465,5.376871746743879e-11
130,PSERT,1.1532316998931682,-11.070749114086226,-12.882440348629272,1.115856352567351,-0.010500417462554097,1.1742849821373223e-10
131,AIRC2,0.2908463092755384,-47.81044627645696,-38.412683705757395,2.1105068475202597,1.8897631890555169,3.811057636799546e-11
132,GAPD,8.98771306118606,-1.9229777376696613,-0.10000029257207466,-0.6390589837209484,-0.23081966136088308,1.1717262816035028
133,GND,28.27820505536727,10.189817497593893,-4.191261803016744,-0.19944646838299776,-0.06496554958015788,3.701709541657142e-10
134,G6PDH2r,28.27820505536727,-9.336885502926147,-6.978512681841817,0.005443078198465241,0.018831482404809738,2.1954999296838732e-10
135,ME2,2.6186396307850406,12.032056033286734,-5.036532891192245,-0.214992923678285,-0.09658266661005827,3.065252394354882e-10
136,ARGSL,0.19254616477374398,-7.267617129700824,-20.438242834895348,0.1941602339935688,0.28668478532111635,7.321833482403962e-11
137,CBPS,0.4078775752795407,-21.975336297225574,-41.29096939107057,0.5640730230901696,0.21935075417775024,3.5332135470581894e-11
138,GLU5K,0.14389602306370683,26.97602306560846,-0.10000125347738731,-2.216234785585913,-1.092518114120617,0.7509409162508941
139,IPPS,0.2932737063939513,-29.270183511606856,-37.60904480028869,-0.8462480281358888,-0.35464827243203745,3.8962248190867357e-11
140,ACOATA,2.0200000001580066e-08,8.069402387319407,-3.1017658659847616,-1.116198248444666,-0.3217207821123369,5.050781411689798e-10
141,ACtex,-0.37997974041848903,0.09657843675796585,0.10000009978907488,9.367826818418752e-05,0.0,0.01494249635337166
142,ACALDtex,-0.001035910733528189,-1.2610026914217087e-05,0.10000017024007145,0.0027381492468766533,0.0,0.008788844528290768
143,PSP_L,1.1532316998931682,-10.483019040896368,-26.49197890597602,0.6195213053670214,0.000515870722929572,5.6057716820167075e-11
144,ADSK,0.16003115108017377,-19.465774799066395,-23.956088660291893,-0.03451705528679988,-0.0546656750128347,6.218702648443181e-11
145,SUCCt2_2pp,7.855751771853763,-10.536245633500016,-6.360033690895134,-0.00012618258874065217,0.0,1.6873305051400397e-10
146,HSDy,0.4543001618972976,-16.730324365511155,-12.066656908770442,1.4166524551645956,0.002329143438443426,1.255401403904082e-10
147,CYSTL,0.1000420899801807,1.8413106773399601,-36.64790687467081,0.1203028519300642,0.41523702540028046,4.0030021826422116e-11
148,SHSL1,0.1000420899801807,-66.30540090421383,-62.1290423441198,0.08856156680109917,0.16817614356199295,2.28945379379882e-11
149,SULabcpp,0.08050223114666501,-15.917897471657223,-40.29937274867864,0.061017190155561216,-0.08307071786930473,0.0
150,GLUtex,-0.0006599901727979373,0.09562301692892561,0.10702823854770133,0.00031225208320926424,0.0,3.454653183868305e-05
151,AKGt2rpp,-0.000402820569986715,2.9186076582930696,5.490314279140831,-0.00023837787046729567,0.0,2.8063738638016777e-10
152,GLYCtex,-0.0030765310997806976,-2.5285233164140664e-05,0.1000029855681586,0.0027385733466248614,0.0,0.0005726640031415513
153,O2tpp,29.780796010886647,0.0,-0.10000000219385977,-0.003796644673318999,0.0,0.6613582485689562
154,PYRt2rpp,-0.0006911812620035598,-5.282781047833623,0.10000032993876173,0.029592647417955274,0.0,0.004589180203472892
155,THD2pp,-41.561426843728164,-13.182126284741331,4.0216932543217405,0.0624183639727168,-0.03530869446033996,3.8622173316347604e-10
