reaction_id,equation
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c
SUCOAS,atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c
PRAIS,atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c
HISTP,h2o_c + hisp_c --> histd_c + pi_c
LDH_D,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c
KAS15,accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c
T2DECAI,tdec2eACP_c <=> cdec3eACP_c
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c
DHQS,2dda7p_c --> 3dhq_c + pi_c
EAR161x,h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c
EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c
MALtex,mal__L_e <=> mal__L_p
3OAS141,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c
3OAR121,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c
ADSL1r,dcamp_c <=> amp_c + fum_c
AICART,10fthf_c + aicar_c <=> fprica_c + thf_c
D_LACt2pp,h_p + lac__D_p <=> h_c + lac__D_c
RIBtex,rib__D_e <=> rib__D_p
FRUpts2pp,fru_p + pep_c --> f6p_c + pyr_c
FORtex,for_e <=> for_p
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c
PGM,2pg_c <=> 3pg_c
CYTBO3_4pp,8.0 h_c + o2_c + 2.0 q8h2_c --> 2.0 h2o_c + 8.0 h_p + 2.0 q8_c
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c
EAR141y,h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c
EAR181x,h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c
TPI,dhap_c <=> g3p_c
RPI,r5p_c <=> ru5p__D_c
3OAR120,3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c
3HAD80,3hoctACP_c --> h2o_c + toct2eACP_c
3HAD120,3hddecACP_c --> h2o_c + tddec2eACP_c
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c
AKGtex,akg_e <=> akg_p
SO4t2pp,h_p + so4_p --> h_c + so4_c
EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c
ACONTb,acon_C_c + h2o_c <=> icit_c
3HAD161,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c
SUCDi,q8_c + succ_c --> fum_c + q8h2_c
ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c
EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c
3OAR181,3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c
3HAD121,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c
EX_o2_e,o2_e <=> 
EAR140x,h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c
3OAS181,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c
3OAR140,3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c
EAR160y,h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c
3OAR160,3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c
3HAD181,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c
EAR100y,h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c
3HAD141,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c
EAR121x,h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c
EAR121y,h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c
ACONTa,cit_c <=> acon_C_c + h2o_c
3HAD40,3haACP_c --> but2eACP_c + h2o_c
3OAS60,butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c
3OAS160,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c
3OAR60,3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c
3OAR80,3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c
EAR120x,h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c
EAR160x,h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c
EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c
3OAS121,cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c
3OAS80,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c
3OAS100,h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c
3OAS120,dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c
3OAR40,actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c
3OAR100,3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c
3HAD60,3hhexACP_c --> h2o_c + thex2eACP_c
3HAD100,3hdecACP_c --> h2o_c + tdec2eACP_c
3HAD140,3hmrsACP_c --> h2o_c + tmrs2eACP_c
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c
EAR40x,but2eACP_c + h_c + nadh_c --> butACP_c + nad_c
EAR60y,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c
EAR60x,h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c
EAR80x,h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c
3OAR180,3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c
3OAS180,h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c
3HAD180,3hoctaACP_c --> h2o_c + toctd2eACP_c
NADH16pp,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c
NADH17pp,4.0 h_c + mqn8_c + nadh_c --> 3.0 h_p + mql8_c + nad_c
ETOHtrpp,etoh_p <=> etoh_c
VPAMTr,3mob_c + ala__L_c <=> pyr_c + val__L_c
PIt2rpp,h_p + pi_p --> h_c + pi_c
PItpp,pi_c --> pi_p
SUCCt1pp,succ_c --> succ_p
Biomass,0.027788 26dap__M_c + 0.077824 3hmrsACP_c + 0.000576 3mob_c + 0.094488 accoa_c + 0.583159 ala__L_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.243909 asp__L_c + 76.222072 atp_c + 0.160525 ctp_c + 0.092156 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.002278 dhap_c + 0.026166 dttp_c + 0.094488 f6p_c + 0.002278 fum_c + 0.357648 gln__L_c + 0.19646 glu__L_c + 0.612638 gly_c + 0.139028 glyc3p_c + 0.215542 gtp_c + 70.36288 h2o_c + 0.2071755 h_p + 0.150428 hdeACP_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.000576 mlthf_c + 0.02881 nadph_c + 0.014845 nh4_c + 0.127628 palmACP_c + 0.0667 pep_c + 0.185265 phe__L_c + 0.221055 pro__L_c + 0.002278 prpp_c + 0.039804 ru5p__D_c + 0.35482 ser__L_c + 0.004338 so4_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 0.238592 utp_c + 0.423162 val__L_c --> 0.35588 ACP_c + 0.038912 ac_c + 76.041141 adp_c + 0.002854 amp_c + 0.027017 cdp_c + 0.142458 co2_c + 0.094488 coa_c + 0.001338 for_c + 75.9682805 h_c + 0.02881 nadp_c + 75.822864 pi_c + 1.055562 ppi_c + 0.002278 succ_c + 0.000576 thf_c + 0.047244 udp_c + 0.047244 ump_c
